0.91	0.32
1.20	0.46
0.28	0.40
0.07	4.01
2.17	0.97
0.17	2.35
0.21	3.95
1.19	0.20
0.45	0.58
0.78	0.84
0.39	0.23
1.32	1.28
0.01	0.88
0.87	0.14
2.06	0.93
1.64	0.47
1.39	0.48
0.10	2.32
1.04	2.99
0.22	0.16
1.90	1.07
0.76	0.05
1.11	0.13
2.61	0.61
0.27	1.54
1.15	1.14
3.58	1.71
0.79	3.78
1.35	0.79
1.73	1.19
0.33	1.48
0.79	1.38
0.90	0.27
0.87	0.22
0.27	0.25
0.65	0.60
0.40	1.14
0.83	0.19
0.29	0.03
0.61	0.88
0.27	0.73
1.26	0.08
3.52	3.64
1.68	0.67
2.07	0.71
0.87	0.57
1.52	2.05
2.27	4.15
1.21	0.59
1.11	0.97
